id,value
0,52
1,87
2,90
3,13
4,6
5,19
6,41
7,59
8,2
9,94
10,80
11,96
12,93
13,47
14,86
15,15
16,94
17,2
18,25
19,19
20,7
21,62
22,79
23,34
24,46
25,89
26,94
27,6
28,30
29,85
30,28
31,78
32,12
33,80
34,89
35,11
36,51
37,38
38,33
39,71
40,56
41,51
42,95
43,16
44,88
45,81
46,15
47,12
48,47
49,67
50,20
51,82
52,76
53,35
54,89
55,33
56,87
57,3
58,40
59,95
60,58
61,64
62,28
63,26
64,21
65,44
66,43
67,9
68,88
69,51
70,17
71,66
72,85
73,75
74,89
75,62
76,20
77,5
78,16
79,90
80,31
81,9
82,71
83,73
84,36
85,99
86,100
87,28
88,100
89,98
90,50
91,32
92,45
93,5
94,8
95,26
96,14
97,88
98,61
99,89
100,60
101,57
102,66
103,25
104,51
105,37
106,84
107,24
108,92
109,1
110,67
111,23
112,47
113,33
114,71
115,86
116,62
117,79
118,27
119,33
120,63
121,73
122,92
123,7
124,7
125,59
126,50
127,22
128,67
129,9
130,14
131,54
132,84
133,85
134,72
135,83
136,68
137,46
138,32
139,63
140,86
141,88
142,13
143,61
144,30
145,10
146,27
147,40
148,64
149,33
150,77
151,50
152,89
153,33
154,4
155,69
156,67
157,56
158,28
159,90
160,98
161,80
162,46
163,33
164,87
165,64
166,23
167,16
168,56
169,2
170,29
171,64
172,14
173,70
174,8
175,29
176,65
177,32
178,98
179,68
180,46
181,92
182,17
183,72
184,89
185,7
186,66
187,76
188,85
189,86
190,77
191,76
192,12
193,95
194,60
195,31
196,61
197,62
198,86
199,60
200,54
201,97
202,58
203,33
204,95
205,83
206,78
207,24
208,82
209,35
210,1
211,11
212,63
213,39
214,41
215,100
216,51
217,82
218,36
219,39
220,3
221,13
222,80
223,67
224,59
225,89
226,19
227,80
228,55
229,78
230,12
231,11
232,54
233,72
234,57
235,56
236,74
237,44
238,37
239,7
240,44
241,79
242,50
243,26
244,26
245,42
246,27
247,44
248,16
249,97
250,83
251,55
252,45
253,54
254,48
255,97
256,54
257,64
258,61
259,4
260,77
261,4
262,59
263,78
264,99
265,43
266,77
267,9
268,75
269,29
270,77
271,85
272,12
273,75
274,44
275,8
276,22
277,37
278,97
279,37
280,72
281,93
282,8
283,29
284,54
285,44
286,32
287,57
288,21
289,17
290,22
291,49
292,66
293,83
294,2
295,34
296,9
297,81
298,38
299,56
300,20
301,32
302,39
303,97
304,37
305,8
306,36
307,74
308,37
309,2
310,38
311,20
312,19
313,42
314,36
315,32
316,61
317,27
318,41
319,86
320,79
321,41
322,22
323,34
324,97
325,18
326,54
327,6
328,41
329,29
330,97
331,83
332,38
333,63
334,32
335,26
336,40
337,24
338,79
339,19
340,52
341,3
342,67
343,48
344,23
345,54
346,39
347,44
348,82
349,57
350,90
351,17
352,19
353,23
354,72
355,45
356,68
357,63
358,1
359,52
360,45
361,58
362,7
363,72
364,42
365,22
366,3
367,27
368,30
369,65
370,59
371,51
372,62
373,16
374,25
375,80
376,48
377,47
378,52
379,26
380,12
381,80
382,34
383,98
384,8
385,11
386,98
387,78
388,90
389,34
390,49
391,62
392,28
393,50
394,36
395,94
396,75
397,69
398,92
399,76
400,34
401,70
402,6
403,62
404,73
405,10
406,42
407,60
408,87
409,12
410,83
411,10
412,54
413,57
414,46
415,1
416,34
417,28
418,61
419,17
420,83
421,2
422,26
423,11
424,42
425,33
426,21
427,95
428,93
429,70
430,46
431,49
432,17
433,24
434,27
435,34
436,67
437,18
438,31
439,75
440,87
441,29
442,13
443,17
444,44
445,62
446,20
447,79
448,45
449,91
450,16
451,82
452,45
453,8
454,57
455,71
456,29
457,49
458,76
459,100
460,37
461,4
462,34
463,7
464,99
465,43
466,75
467,32
468,96
469,70
470,19
471,45
472,3
473,94
474,69
475,41
476,72
477,28
478,64
479,29
480,74
481,13
482,79
483,34
484,59
485,65
486,94
487,13
488,46
489,57
490,88
491,90
492,21
493,75
494,74
495,35
496,89
497,18
498,92
499,91
500,68
501,28
502,79
503,73
504,29
505,21
506,80
507,94
508,43
509,94
510,97
511,76
512,96
513,85
514,31
515,32
516,38
517,43
518,37
519,1
520,29
521,69
522,81
523,15
524,25
525,44
526,7
527,37
528,41
529,59
530,26
531,97
532,42
533,90
534,7
535,94
536,27
537,20
538,41
539,92
540,58
541,12
542,20
543,41
544,54
545,97
546,11
547,39
548,69
549,43
550,3
551,78
552,77
553,2
554,55
555,38
556,20
557,13
558,94
559,97
560,83
561,58
562,29
563,47
564,35
565,25
566,68
567,51
568,34
569,9
570,13
571,44
572,42
573,78
574,75
575,60
576,10
577,46
578,34
579,76
580,40
581,51
582,7
583,76
584,74
585,29
586,77
587,77
588,92
589,24
590,98
591,69
592,24
593,55
594,93
595,62
596,42
597,54
598,97
599,17
600,92
601,54
602,53
603,48
604,74
605,94
606,5
607,41
608,13
609,64
610,52
611,49
612,84
613,52
614,4
615,36
616,11
617,92
618,54
619,28
620,89
621,60
622,13
623,3
624,3
625,89
626,27
627,26
628,97
629,63
630,58
631,77
632,58
633,68
634,45
635,13
636,63
637,60
638,5
639,85
640,80
641,21
642,12
643,23
644,19
645,38
646,7
647,14
648,65
649,32
650,76
651,8
652,66
653,24
654,40
655,90
656,95
657,27
658,20
659,58
660,94
661,36
662,54
663,32
664,61
665,6
666,57
667,38
668,75
669,47
670,3
671,13
672,7
673,6
674,35
675,35
676,8
677,30
678,73
679,49
680,20
681,87
682,65
683,20
684,54
685,44
686,61
687,86
688,43
689,24
690,97
691,38
692,51
693,68
694,87
695,95
